time_ms,pointer,middle,ring,ecg
15671,1307,1617,2899,0
15691,1299,1637,3517,1663
15711,1290,1636,2867,4095
15731,1275,1621,2857,4095
15751,1243,1624,2859,1951
15771,1213,1629,2889,0
15791,1207,1655,3503,275
15811,1170,1643,2841,3934
15831,1141,1631,2857,4095
15851,1109,1607,2853,1836
15871,1082,1583,2898,0
15891,1065,1560,3495,403
17529,2424,1787,2872,4095
17550,2193,1491,2811,3551
17570,1950,1175,2939,613
17590,1832,995,2916,25
17610,1791,937,3149,4095
17630,1805,1036,2869,4095
17650,1803,1231,2813,3499
17670,1664,1471,2917,508
17690,1365,1701,2907,0
17710,860,1913,3211,1957
17730,335,2059,2855,4095
17750,89,2092,2823,3483
17770,64,2041,2924,367
17790,42,1885,2904,0
17810,4,1641,3224,2252
17830,192,1350,2861,4095
17850,587,1123,2824,4095
17870,1086,1039,2923,1165
17890,1645,1119,2904,231
17910,2276,1382,3237,2075
17930,2950,1789,2869,4095
17950,3555,2284,2822,3188
17970,3803,2787,2920,0
17990,3589,3131,2939,0
18010,3087,3195,3340,1099
18030,2401,2980,2899,4063
18050,1564,2649,2834,3303
18070,1041,2381,2953,146
18090,943,2227,2933,0
18110,1097,2151,3275,1843
18130,1395,2105,2904,4095
18150,1642,2044,2829,3689
18170,1829,2003,2931,303
18190,1945,1960,2900,0
18210,1991,1900,3283,1899
18230,2013,1864,2892,4095
18250,2083,1861,2835,3773
18270,2235,1928,2941,551
18290,2515,2069,2921,0
18310,2684,2223,3341,1783
18330,2821,2324,2886,4095
18350,2863,2386,2843,3719
18370,2739,2387,2943,479
18390,2469,2345,2928,0
18410,2103,2227,3357,1801
18430,1571,2053,2871,4095
18450,1223,1867,2826,3861
18470,1107,1715,2932,454
18490,1099,1612,2921,0
18510,986,1541,3287,1699
20551,1643,1769,2809,3143
20572,1513,1739,2871,0
20592,1459,1647,3327,0
20612,1357,1558,2891,3039
20632,1013,1462,2824,4095
20652,729,1396,2807,2840
20672,749,1395,2861,88
20692,1019,1469,3349,42
20712,1391,1557,2891,3759
20732,1685,1629,2845,4095
20752,1895,1741,2808,3283
20772,2136,1981,2857,0
20792,2441,2357,3357,0
20812,2741,2733,2952,2378
20832,2942,3124,2847,4095
20852,2871,3359,2827,2302
20872,2555,3337,2890,0
20892,2477,3100,3384,0
20912,2683,2744,2927,2513
20932,2937,2425,2869,4095
20952,3112,2141,2821,2799
20972,3126,1928,2871,0
20992,2937,1791,3285,0
21012,2603,1737,2901,3004
21032,2075,1663,2845,4095
21052,1512,1657,2827,2903
21072,1139,1694,2861,0
21092,995,1756,3297,0
21112,947,1845,2909,2967
21132,943,2013,2840,4095
21152,859,2213,2823,2952
21172,730,2394,2869,0
21192,761,2507,3333,0
21212,937,2520,2935,2761
21232,1163,2439,2844,4095
21252,1333,2262,2814,2961
21272,1423,2069,2875,0
21292,1359,1915,3277,0
21312,1429,1724,2892,3032
21332,1636,1580,2846,4095
21352,1883,1502,2806,3279
21372,2102,1472,2861,291
21392,2334,1435,3253,0
21412,2622,1415,2915,2965
21432,2815,1405,2838,4095
21452,2919,1447,2799,3175
21472,2943,1576,2851,0
21492,2903,1693,3257,61
21512,2719,1807,2916,4095
